,input,label
0,101,Other
1,102,Fizz
2,103,Other
3,104,Other
4,105,FizzBuzz
5,106,Other
6,107,Other
7,108,Fizz
8,109,Other
9,110,Buzz
10,111,Fizz
11,112,Other
12,113,Other
13,114,Fizz
14,115,Buzz
15,116,Other
16,117,Fizz
17,118,Other
18,119,Other
19,120,FizzBuzz
20,121,Other
21,122,Other
22,123,Fizz
23,124,Other
24,125,Buzz
25,126,Fizz
26,127,Other
27,128,Other
28,129,Fizz
29,130,Buzz
30,131,Other
31,132,Fizz
32,133,Other
33,134,Other
34,135,FizzBuzz
35,136,Other
36,137,Other
37,138,Fizz
38,139,Other
39,140,Buzz
40,141,Fizz
41,142,Other
42,143,Other
43,144,Fizz
44,145,Buzz
45,146,Other
46,147,Fizz
47,148,Other
48,149,Other
49,150,FizzBuzz
50,151,Other
51,152,Other
52,153,Fizz
53,154,Other
54,155,Buzz
55,156,Fizz
56,157,Other
57,158,Other
58,159,Fizz
59,160,Buzz
60,161,Other
61,162,Fizz
62,163,Other
63,164,Other
64,165,FizzBuzz
65,166,Other
66,167,Other
67,168,Fizz
68,169,Other
69,170,Buzz
70,171,Fizz
71,172,Other
72,173,Other
73,174,Fizz
74,175,Buzz
75,176,Other
76,177,Fizz
77,178,Other
78,179,Other
79,180,FizzBuzz
80,181,Other
81,182,Other
82,183,Fizz
83,184,Other
84,185,Buzz
85,186,Fizz
86,187,Other
87,188,Other
88,189,Fizz
89,190,Buzz
90,191,Other
91,192,Fizz
92,193,Other
93,194,Other
94,195,FizzBuzz
95,196,Other
96,197,Other
97,198,Fizz
98,199,Other
99,200,Buzz
100,201,Fizz
101,202,Other
102,203,Other
103,204,Fizz
104,205,Buzz
105,206,Other
106,207,Fizz
107,208,Other
108,209,Other
109,210,FizzBuzz
110,211,Other
111,212,Other
112,213,Fizz
113,214,Other
114,215,Buzz
115,216,Fizz
116,217,Other
117,218,Other
118,219,Fizz
119,220,Buzz
120,221,Other
121,222,Fizz
122,223,Other
123,224,Other
124,225,FizzBuzz
125,226,Other
126,227,Other
127,228,Fizz
128,229,Other
129,230,Buzz
130,231,Fizz
131,232,Other
132,233,Other
133,234,Fizz
134,235,Buzz
135,236,Other
136,237,Fizz
137,238,Other
138,239,Other
139,240,FizzBuzz
140,241,Other
141,242,Other
142,243,Fizz
143,244,Other
